emp_no,first_name,last_name,title,from_date,to_date,dept_name
10001,Georgi,Facello,Senior Engineer,1986-06-26,1999-01-01,Development
10004,Chirstian,Koblick,Engineer,1986-12-01,1995-12-01,Production
10004,Chirstian,Koblick,Senior Engineer,1995-12-01,1999-01-01,Production
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18,Quality Management
10009,Sumant,Peac,Engineer,1990-02-18,1995-02-18,Quality Management
10009,Sumant,Peac,Senior Engineer,1995-02-18,1999-01-01,Quality Management
10018,Kazuhide,Peha,Engineer,1987-04-03,1995-04-03,Development
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,1999-01-01,Development
10018,Kazuhide,Peha,Engineer,1987-04-03,1995-04-03,Production
10018,Kazuhide,Peha,Senior Engineer,1995-04-03,1999-01-01,Production
10035,Alain,Chappelet,Engineer,1988-09-05,1996-09-05,Production
10035,Alain,Chappelet,Senior Engineer,1996-09-05,1999-01-01,Production
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,1999-01-01,Sales
10058,Berhard,McFarlin,Senior Staff,1988-04-25,1999-01-01,Marketing
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,1992-02-26,Development
10066,Kwee,Schusler,Engineer,1992-02-26,1998-02-25,Development
10066,Kwee,Schusler,Senior Engineer,1998-02-25,1999-01-01,Development
10067,Claudi,Stavenow,Engineer,1987-03-04,1996-03-03,Quality Management
10067,Claudi,Stavenow,Senior Engineer,1996-03-03,1999-01-01,Quality Management
10070,Reuven,Garigliano,Technique Leader,1985-10-14,1999-01-01,Research
10070,Reuven,Garigliano,Technique Leader,1985-10-14,1999-01-01,Development
10072,Hironoby,Sidou,Engineer,1989-05-21,1995-05-21,Development
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,1999-01-01,Development
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,1999-01-01,Development
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,1999-01-01,Customer Service
10088,Jungsoon,Syrzycki,Staff,1988-09-02,1993-09-02,Customer Service
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,1999-01-01,Sales
10088,Jungsoon,Syrzycki,Staff,1988-09-02,1993-09-02,Sales
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,1999-01-01,Human Resources
10100,Hironobu,Haraldson,Staff,1987-09-21,1994-09-21,Human Resources
10103,Akemi,Birch,Engineer,1998-01-12,1999-01-01,Development
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,1999-01-01,Customer Service
10126,Kayoko,Valtorta,Staff,1985-09-08,1991-09-08,Customer Service
10129,Armond,Peir,Technique Leader,1996-01-16,1999-01-01,Development
10130,Nishit,Casperson,Senior Engineer,1988-06-21,1999-01-01,Production
10134,Diederik,Siprelle,Engineer,1987-12-12,1994-12-12,Development
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,1999-01-01,Development
10134,Diederik,Siprelle,Engineer,1987-12-12,1994-12-12,Production
10134,Diederik,Siprelle,Senior Engineer,1994-12-12,1999-01-01,Production
10138,Perry,Shimshoni,Engineer,1992-03-03,2001-03-03,Quality Management
10138,Perry,Shimshoni,Senior Engineer,2001-03-03,1999-01-01,Quality Management
10150,Zhenbing,Perng,Engineer,1986-11-16,1995-11-16,Development
10150,Zhenbing,Perng,Senior Engineer,1995-11-16,1999-01-01,Development
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,1999-01-01,Development
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,1999-01-01,Development
10198,Pranav,Furedi,Engineer,1985-08-31,1993-08-31,Development
10198,Pranav,Furedi,Senior Engineer,1993-08-31,1999-01-01,Development
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,1999-01-01,Sales
10224,Leon,Trogemann,Engineer,1988-01-09,1996-01-09,Production
10224,Leon,Trogemann,Senior Engineer,1996-01-09,1999-01-01,Production
10233,Lein,Vendrig,Senior Staff,2000-04-28,1999-01-01,Human Resources
10233,Lein,Vendrig,Staff,1994-04-29,2000-04-28,Human Resources
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,1991-05-17,Development
10258,Basil,Ishibashi,Engineer,1991-05-17,1997-05-16,Development
10258,Basil,Ishibashi,Senior Engineer,1997-05-16,1999-01-01,Development
10272,Yishai,Cannane,Staff,1997-10-23,1999-01-01,Finance
10282,Hercules,Benzmuller,Assistant Engineer,1996-05-02,2001-05-02,Production
10282,Hercules,Benzmuller,Engineer,2001-05-02,1999-01-01,Production
10283,Kauko,Birjandi,Engineer,1988-05-25,1995-05-26,Development
10283,Kauko,Birjandi,Senior Engineer,1995-05-26,1999-01-01,Development
10326,Masali,Czap,Staff,1998-09-02,1999-01-01,Research
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,1999-01-01,Marketing
10340,Djelloul,Laventhal,Staff,1988-03-30,1993-03-30,Marketing
10347,Pradeep,Kaminger,Staff,1998-02-20,1999-01-01,Research
10355,Satyanarayana,Cochrane,Staff,1996-01-26,1999-01-01,Sales
10356,Vasilis,Standera,Senior Staff,1995-06-26,1999-01-01,Research
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,1999-01-01,Production
10372,Anneli,Frijda,Technique Leader,1985-07-30,1999-01-01,Production
10387,Parto,Wrigley,Senior Staff,1999-01-07,1999-01-01,Customer Service
10387,Parto,Wrigley,Staff,1994-01-07,1999-01-07,Customer Service
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,1999-01-01,Development
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,1999-01-01,Quality Management
10404,Prodip,Rosti,Engineer,1988-08-28,1996-08-28,Development
10404,Prodip,Rosti,Senior Engineer,1996-08-28,1999-01-01,Development
10426,Arunas,Luce,Technique Leader,1985-07-06,1999-01-01,Development
10429,Martien,Improta,Senior Engineer,1988-09-23,1999-01-01,Development
10432,Hisao,Tiemann,Senior Staff,1996-08-12,1999-01-01,Customer Service
10432,Hisao,Tiemann,Staff,1990-08-13,1996-08-12,Customer Service
10451,Bodh,Ranta,Assistant Engineer,1988-03-12,1993-03-12,Production
10451,Bodh,Ranta,Engineer,1993-03-12,1998-03-12,Production
10451,Bodh,Ranta,Senior Engineer,1998-03-12,1999-01-01,Production
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,1999-01-01,Customer Service
10453,Tsvetan,Matzel,Staff,1985-04-02,1993-04-02,Customer Service
10463,Ung,Zaiane,Staff,1994-02-17,1999-01-01,Sales
10486,Amstein,Kossowski,Engineer,1987-10-08,1996-10-07,Quality Management
