emp_no,first_name,last_name,title,dept_name
10001,Georgi,Facello,Senior Engineer,Development
10004,Chirstian,Koblick,Senior Engineer,Production
10009,Sumant,Peac,Senior Engineer,Quality Management
10018,Kazuhide,Peha,Senior Engineer,Development
10035,Alain,Chappelet,Senior Engineer,Production
10053,Sanjiv,Zschoche,Senior Staff,Sales
10058,Berhard,McFarlin,Senior Staff,Marketing
10066,Kwee,Schusler,Senior Engineer,Development
10067,Claudi,Stavenow,Senior Engineer,Quality Management
10070,Reuven,Garigliano,Technique Leader,Research
10072,Hironoby,Sidou,Senior Engineer,Development
10076,Erez,Ritzmann,Senior Engineer,Development
10088,Jungsoon,Syrzycki,Senior Staff,Customer Service
10100,Hironobu,Haraldson,Senior Staff,Human Resources
10103,Akemi,Birch,Engineer,Development
10126,Kayoko,Valtorta,Senior Staff,Customer Service
10129,Armond,Peir,Technique Leader,Development
10130,Nishit,Casperson,Senior Engineer,Production
10134,Diederik,Siprelle,Senior Engineer,Development
10138,Perry,Shimshoni,Senior Engineer,Quality Management
10150,Zhenbing,Perng,Senior Engineer,Development
10153,Heekeun,Majewski,Assistant Engineer,Development
10157,Nigel,Aloisi,Senior Engineer,Development
10198,Pranav,Furedi,Senior Engineer,Development
10215,Xiaobin,Duclos,Senior Staff,Sales
10224,Leon,Trogemann,Senior Engineer,Production
10233,Lein,Vendrig,Senior Staff,Human Resources
10258,Basil,Ishibashi,Senior Engineer,Development
10272,Yishai,Cannane,Staff,Finance
10282,Hercules,Benzmuller,Engineer,Production
10283,Kauko,Birjandi,Senior Engineer,Development
10326,Masali,Czap,Staff,Research
10340,Djelloul,Laventhal,Senior Staff,Marketing
10347,Pradeep,Kaminger,Staff,Research
10355,Satyanarayana,Cochrane,Staff,Sales
10356,Vasilis,Standera,Senior Staff,Research
10364,Nakhoon,Dengi,Senior Engineer,Production
10372,Anneli,Frijda,Technique Leader,Production
10387,Parto,Wrigley,Senior Staff,Customer Service
10396,Sibyl,Rahier,Senior Engineer,Development
10402,Volkmar,Ebeling,Technique Leader,Quality Management
10404,Prodip,Rosti,Senior Engineer,Development
10426,Arunas,Luce,Technique Leader,Development
10429,Martien,Improta,Senior Engineer,Development
10432,Hisao,Tiemann,Senior Staff,Customer Service
10451,Bodh,Ranta,Senior Engineer,Production
10453,Tsvetan,Matzel,Senior Staff,Customer Service
10463,Ung,Zaiane,Staff,Sales
10486,Amstein,Kossowski,Senior Engineer,Quality Management
10494,Yakkov,Servieres,Senior Engineer,Production
10504,Xiong,Varker,Staff,Sales
10512,Udi,Gihr,Senior Staff,Human Resources
10522,Marke,Cesareni,Senior Staff,Human Resources
10548,Ramalingam,Gunderson,Senior Staff,Sales
10564,Jianhao,Thisen,Senior Engineer,Production
10623,Aleksander,Danlos,Senior Engineer,Research
10628,Krisda,Krogh,Senior Engineer,Development
10631,Inderjeet,Chaudhuri,Engineer,Development
10642,Hirochika,Narlikar,Engineer,Development
10653,Otmar,Feinberg,Senior Engineer,Development
10671,Parviz,Rebaine,Senior Staff,Human Resources
10676,Valeri,Danley,Engineer,Development
10693,Berhard,Daescu,Senior Staff,Customer Service
10702,Bader,Szemeredi,Senior Engineer,Development
10718,Adib,Rullman,Senior Engineer,Development
10726,Zita,Minakawa,Senior Engineer,Development
10734,Sachar,Erdi,Engineer,Production
10745,Poorav,Ranze,Senior Engineer,Production
10749,King,Brendel,Senior Engineer,Production
10767,Monique,Doering,Staff,Sales
10768,Ishfaq,Candan,Senior Engineer,Production
10778,Selwyn,Merey,Senior Staff,Marketing
10791,Tadahiko,Sgarro,Senior Engineer,Development
10795,Supot,Naudin,Senior Staff,Sales
10808,Chenxi,Leijenhorst,Senior Engineer,Development
10835,Tomoyuki,Kermarrec,Engineer,Production
10836,Jianhua,Leivant,Senior Staff,Customer Service
10844,Dipayan,Koprowski,Engineer,Development
10847,Theirry,Danley,Senior Staff,Research
10848,Fen,Bratsberg,Senior Engineer,Production
10878,Lakshmi,Deville,Staff,Sales
10879,Muzhong,Chleq,Senior Engineer,Development
10883,Shimshon,Champarnaud,Engineer,Production
10909,Georgi,Atchley,Senior Engineer,Development
10921,Mara,Bahi,Senior Engineer,Production
10924,Hironoby,Atchley,Senior Staff,Sales
10927,Gal,Scallan,Senior Staff,Marketing
10936,Mountaz,Schicker,Senior Staff,Human Resources
10943,Berna,Skafidas,Senior Engineer,Development
10965,Eckart,Braunschweig,Senior Staff,Sales
10969,Premal,Noriega,Senior Engineer,Development
10974,Muneo,Papsdorf,Senior Engineer,Development
10986,Masako,Schiper,Technique Leader,Development
10988,Chinya,Deyuan,Senior Engineer,Development
10989,Sumali,Candan,Senior Staff,Finance
10990,Shin,Foote,Technique Leader,Development
11009,Alper,Axelband,Senior Staff,Sales
11012,Taegyun,Speckmann,Staff,Customer Service
11019,Leon,Huttel,Senior Engineer,Development
11021,Srinidhi,Henders,Staff,Research
11027,Remzi,Cappello,Senior Engineer,Production
11031,Ottavia,Walstra,Senior Staff,Marketing
11037,Lansing,Maliniak,Senior Engineer,Production
11038,Jinya,Beidas,Senior Staff,Research
11042,Gou,Breugel,Senior Engineer,Development
11048,Jaques,Demke,Senior Staff,Sales
11050,Elvis,Katiyar,Senior Staff,Marketing
11051,Przemyslawa,Erol,Senior Engineer,Production
11070,Adib,Raney,Senior Engineer,Quality Management
11081,Barry,Boyle,Senior Staff,Finance
11085,Hailing,Thummel,Senior Engineer,Production
11100,Berna,Cochrane,Senior Staff,Research
11106,Aris,Iwayama,Senior Engineer,Development
11112,Boaz,Mukaidono,Staff,Customer Service
11113,Shahab,Peng,Senior Staff,Marketing
11121,Vugranam,Kakkad,Senior Engineer,Development
11133,Nalini,Azulay,Technique Leader,Quality Management
11134,Sachar,Rajcani,Senior Engineer,Quality Management
11137,Hugh,Luca,Engineer,Development
11139,Bogdan,Homond,Senior Staff,Customer Service
11146,Ishfaq,Masand,Senior Staff,Sales
11148,Zhanqiu,Botman,Senior Staff,Human Resources
11162,Kauko,Narlikar,Senior Engineer,Development
11180,Mitsuyuki,Bojadziev,Senior Engineer,Development
11197,Tadahiro,Fordan,Senior Staff,Sales
11204,Diederik,Covnot,Technique Leader,Production
11207,Saeed,Gips,Engineer,Development
11208,Saniya,Valtorta,Technique Leader,Production
11211,Yurij,Rissland,Senior Engineer,Production
11217,Kellie,Mawatari,Senior Engineer,Production
11232,Hidefumi,Crelier,Senior Staff,Customer Service
11240,Kiam,Condotta,Engineer,Development
11249,Randi,Cyre,Engineer,Development
11251,Bezalel,Chinal,Senior Staff,Marketing
11268,Aimee,Petersohn,Senior Engineer,Production
11275,Hitomi,Eppinger,Senior Engineer,Development
11290,Visit,Dredge,Engineer,Development
11295,Abdelkader,Lanzelotte,Senior Staff,Finance
11319,Pranas,Marrakchi,Assistant Engineer,Development
11320,Atilio,McAlpine,Senior Staff,Marketing
11322,Nathalie,Pocchiola,Senior Engineer,Quality Management
11324,Kauko,Billingsley,Senior Engineer,Production
11338,Kwangsub,Hanratty,Senior Staff,Sales
